Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.41182,11.491303,9.7324398,8.535248,8.8373815,9.0710491,10.185438,12.158563,13.432963,14.763332,17.549216,19.360354,21.170432,22.845037,23.237461,24.845402,29.977632,33.919729,37.170673,41.075589,41.075783,38.566174,36.402433,33.837622,32.190019,30.438796
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.532659,20.771121,21.074427,22.405713,23.527572,23.638674,27.400667,32.358081,38.153035,45.629911,48.02575,60.994276,77.919776,84.896676,80.384264,95.320464,91.545344,105.94874,102.95507,122.62309,132.10708,144.85113,140.44143,146.98177,173.87193,143.73085,141.47355,121.058,106.644,107.84279,102.27035,98.379222,87.058339,77.934225,78.399763,80.398986,79.440609,73.99713,70.827981,64.242337,63.048401,69.153466,45.040954,43.359754,44.789982,47.265545,48.392917,49.839058,53.208956
Denmark,46.339022,41.085274,38.725077,36.138771,29.395416,29.840941,28.607456,27.085488,26.14735,23.119945,19.925955,16.404332,15.081635,13.47408,10.754404,7.866571,6.096216,5.8197344,5.293,4.752414,4.8066611,5.0172269,5.2844716,4.9619712,4.5608446,4.33788,7.5493335,10.792214,19.466923,26.313833,33.952409,43.762347,56.245214,67.617685,70.167349,68.315221,65.951843,63.144078,61.417831,59.82124,61.433663,62.287281,66.748644,78.387362,75.53708,74.289689,72.480019,67.819591,62.791582,59.491543,53.598169,50.658901,50.245626,48.36607,45.717071,38.282882,31.757338,27.068642,31.230107,36.437683,38.165226,41.028961,39.974839,38.35388,38.221198,33.367938,30.788881,29.488487,27.819119
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.982567,53.175822,56.011037,55.292322,58.510471,58.1749,58.106751,63.733978,66.324157,65.349472,60.360807,58.392593,56.684685,59.308869,29.555161,27.905739,25.702236,25.069563,24.592915,26.910224,39.913455,45.684484,47.915699,47.966303
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.589993,13.354739,16.661957,10.669581,11.992091,12.362862,28.533222,33.062846,38.050797,47.018992,51.367673,51.073924,49.744028,43.902454,no data,56.561304,58.705219,55.301402,55.406008,56.975603,59.281461,54.664875,49.275424,57.089621,61.97804,69.553052,97.490291,99.360355,98.220077,85.81775,84.935068,80.446791,74.900174,66.527392,62.810459,67.315943,68.63583,74.031702,75.01475,79.916382,77.694919,69.514354,76.936314,78.215939
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.673373,13.778497,14.749594,24.272152,26.7288,17.480654,18.829662,16.584523,22.517361,26.892605,27.143268,28.316352,31.48143,36.816963,35.866009,34.39372,36.101586,37.940596,38.750869
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.790733,53.312384,57.696487,66.395363,62.474347,51.991782,51.967072,45.265603,48.270747,71.699631,63.678989,49.374448,43.855911,40.431218,36.402283,32.390856,26.462947,25.194197,20.57668,14.937695,17.817892,17.261196,20.086655,22.906946,27.517065,30.94902,35.620193,41.307584,42.626409
Egypt,no data,no data,no data,no data,16.019945,19.20801,27.021077,26.15856,no data,24.0631,32.247312,36.71576,39.909859,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
El Salvador,no data,5.0550989,5.4901663,6.0907336,5.2522396,4.6229358,5.5619528,6.4045093,6.7431631,6.531776,6.3876248,7.5524731,no data,7.422833,7.6078962,8.4642986,9.3663303,9.4912121,9.6625577,10.382831,10.130382,10.360469,11.009329,11.151833,12.176858,13.078633,14.418892,12.13385,14.630949,15.90598,21.988522,39.503481,50.086865,66.419678,102.35456,112.06751,92.897959,96.316071,84.666086,84.934095,55.738808,57.519271,52.612897,41.557368,36.971053,32.499655,32.336269,28.628098,26.169392,28.397944,30.518388,35.083151,40.208888,42.570266,44.083813,43.924616,43.957063,41.496787,41.40995,50.298794,49.885288,48.146283,51.343594,49.18512,49.625876,49.662641,49.648853,48.848942,48.159713
Equatorial Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,146.22913,221.0679,260.66736,259.28791,257.93826,183.75747,152.46515,141.31786,154.50372,187.02502,157.00448,169.46537,136.8705,152.57527,215.97342,136.87449,91.185503,46.261473,59.233168,60.477907,36.627469,25.477075,19.446711,6.7062164,4.5220331,2.8500579,1.2209177,0.7544761,0.48841304,4.3372652,7.8943171,7.1704249,7.0972396,6.2720553,12.559933,33.606566,43.421237,38.017999,43.262624
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.775932,57.061021,64.513241,111.16383,no data,219.06024,238.52065,243.39174,263.93736,193.47519,205.33214,199.04636,201.27977,259.66665,207.0543,201.71247,165.33979,160.1028,194.59457,143.39548,190.34057,170.14535,196.16086,174.31123
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.3221301,2.9118119,3.4686113,3.1311338,2.6717838,2.067663,1.8148258,1.2738784,1.7051031,3.4654253,3.2214028,3.1671143,10.732518,10.940248,11.142226,10.696644,10.098817,10.037088,9.3809077
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.302364,19.778382,18.899776,20.207338,15.384695,15.441216,13.988977,13.691535,31.243106,30.809623,27.228127,24.308098,29.234752,28.724096,29.714839,45.536616,43.994976,36.132186,27.479389,26.778334,20.396575,20.14916,16.557767,15.185714,13.372691,12.511656,11.609806,12.601502,15.473452,16.691048,18.158978,21.756793,17.136829,17.481577,15.028105,13.500562,14.589632,16.119453,14.595777,10.486661,14.095744,14.685337,14.764754,15.005365,14.135409,18.127874,25.258799,27.831789,35.820813
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.3510262,7.5122446,8.0066849,10.942577,11.628313,12.182579,12.644179,15.722879,15.3074,15.707501,19.356547,21.658074,25.730803,28.969809,26.347743,28.266503,27.292584,32.000392,32.852984,no data,36.156085,36.391916,42.216293,44.265771,47.617884,48.367175,48.797421,54.131724,36.630225,32.703001,36.925584,41.034814,43.385067,44.85364,44.534061,43.989458,49.204054,46.042616,47.463735,51.504189,51.84115,48.64208,47.65327,45.846824,44.508051,43.044523,44.040558,43.745334,46.154716
Finland,12.873646,7.1053016,7.5039766,8.3579704,8.1552613,7.5285942,8.0380017,7.2168894,7.1527364,6.9344188,5.3500559,4.8170129,6.2596198,7.7056939,7.5441634,8.5196081,9.0724759,8.2593442,8.1331329,6.7574912,5.6640343,4.8147886,3.7950379,2.4161364,1.6660327,3.0571775,2.7407228,4.3001724,7.7199282,7.8912969,8.2566356,8.7914107,10.788915,12.24524,12.054656,12.576135,12.982149,13.866954,12.428017,10.138603,9.9725305,16.452014,33.195446,48.218034,51.255949,51.251065,51.918479,49.335368,44.130352,41.577177,39.97402,38.477675,37.398593,39.396578,38.91795,35.626296,33.563326,29.508425,28.160507,36.187572,41.460716,42.698952,46.435561,48.197091,50.944645,53.382678,53.168142,51.49385,49.669964
France,37.46479,31.754082,30.763287,32.700541,32.118152,31.039315,30.900727,30.685558,30.203341,29.155251,26.461726,24.353464,21.878313,20.551837,18.15357,16.286699,14.294599,14.991601,14.800996,13.449534,19.651805,18.750261,16.662014,14.78766,14.333275,15.080793,14.124204,13.961187,13.272468,13.103735,12.838391,13.882761,16.979841,17.97046,19.772853,20.932071,22.047739,23.692059,23.875532,24.991952,26.159275,26.683033,29.726353,35.005109,38.792508,44.119832,47.585737,48.825126,49.929876,49.685974,48.58023,48.465739,50.616282,53.757177,53.667242,54.295106,51.418959,51.185767,55.250504,67.046336,68.250765,69.642518,72.026863,74.745334,76.026915,76.609147,78.930089,79.814802,80.982878
Gabon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.772331,15.469749,19.897905,26.602646,33.601067,35.789489,46.3863,63.350306,75.251862,67.457714,33.544525,26.781489,25.521693,22.436205,24.226767,31.815241,35.755574,73.69295,72.24563,72.843536,57.893426,64.5296,61.556924,60.871339,93.635852,85.289548,74.410435,71.619882,92.670616,77.459223,72.496907,80.979437,81.070062,70.241029,60.301269,49.326339,39.597815,39.237099,20.053192,25.991749,21.295213,21.424997,21.442436,31.112811,34.062798,44.70321,64.198722,62.643854,60.660531
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.0994056,5.3998113,6.262175,8.9812494,14.548214,13.516461,19.12711,27.28227,37.258749,42.920782,47.872679,56.277671,69.502361,64.007544,82.25381,73.0338,66.90177,67.958975,58.763277,71.019876,63.474428,67.307925,68.81521,71.437463,68.810998,72.158314,70.167853,73.250229,75.229867,93.875279,91.694292,81.303059,82.596471,87.344267,38.022861,39.528277,38.868143,42.948652,49.240639,49.491895,58.24417,71.086021,69.368877,80.948309,87.0077,86.554164
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.5504334,8.2987339,8.8641717,8.4920926,8.2283851,8.2767402,9.8095918,9.8680664,8.5546944,7.8063632,7.1891988,7.2908219,7.089656,7.6038159,10.648823,11.457127,12.374188,13.480228,14.218915,15.206257,17.178806,18.698066,19.697816,20.216102,20.667849,20.659505,21.169951,21.671373,21.07389,23.250888,22.773048,24.847479,27.069947,28.815774,35.465927,37.275448,37.747546,38.261634,38.814798,37.954473,36.162925,36.771059,38.660454,39.549131,41.111519,41.008813,39.377328,39.91235,44.266702,52.020785,49.899835,50.553744,49.45809,47.703822,45.299416,43.611882,41.642347,39.558871
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.9940424,20.721203,17.412214,17.088171,16.501237,19.192636,19.30729,17.633135,16.188228,15.128523,17.243118,15.029761,13.309733,13.885329,15.176906,14.122596,12.34985,11.595649,9.8642994,8.7218836,8.3845814,9.365669,13.481767,14.944555,19.285939,28.522728,25.110417,24.505447,23.905464,24.315946,26.837534,37.060212,55.233079,49.060551,44.141669,46.673893,40.601106,55.760168,79.190616,61.721838,57.868827,52.693643,41.159519,33.998421,18.589409,22.643943,24.947977,26.95945,34.578199,31.42601,35.583656,43.217411,51.15907,54.829835,57.117407,57.266271,59.292147
Greece,11.319512,14.955584,18.342615,15.908503,13.707051,12.230791,11.173285,7.4636872,8.4104478,10.354872,10.181559,11.096965,13.127778,19.240057,18.455696,19.054505,16.037,17.909764,19.337596,21.284053,18.822101,19.00479,20.120414,16.555722,17.477994,18.176322,20.80436,23.232853,23.651987,23.133295,24.592685,28.773888,29.634242,33.959588,40.503248,48.245323,48.866468,54.340439,59.055919,61.988015,75.831416,77.108717,82.783492,93.745283,99.242434,100.80814,103.22954,99.876909,97.349393,96.546061,98.539551,95.757605,101.62491,99.389117,104.3858,108.11764,103.83527,102.86598,108.29817,125.67641,150.54846,177.74225,159.79652,177.95231,181.42569,181.27936,184.91803,182.39235,194.32672
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,124.07352,68.286642,58.96588,45.995362,42.116099,37.531116,33.913146,31.442777,32.120819,24.587101,22.590863,27.433885,38.971779,48.521061,46.64433,45.030699,43.800973,44.9041,44.568389,39.937425,46.166639,46.880071,40.068778,45.284107,45.684585,43.082083,43.869047,41.42752,40.270926,34.483761,41.626135,44.607792,79.089601,79.561854,94.69362,87.31234,92.923461,89.056235,83.913062,91.094365,96.936934,100.68904,103.33766,108.05938,101.76427,90.099984,81.568465,70.108963,63.487403
Guatemala,3.4807738,2.9792322,2.7672589,3.4672857,2.2101695,4.9757591,4.0718415,4.2050372,4.7867248,6.5852837,7.0150332,7.8185547,8.0773305,8.0139764,8.2425184,11.288375,11.35668,12.028891,12.206601,11.805326,12.038534,13.940428,15.627767,13.985038,13.204368,12.746405,13.933806,13.56108,13.880937,13.412728,16.220658,23.288824,37.684612,45.263308,51.08512,64.585909,53.891295,54.028459,48.324471,48.102893,47.626103,37.51346,32.710787,29.503788,27.198535,23.619662,21.235861,19.276726,19.140849,22.366142,21.844164,21.963857,20.04195,22.154144,22.764846,21.586279,21.877317,21.630698,20.054428,22.998502,24.490513,23.9076,24.439075,24.806219,24.67631,24.371318,24.255892,23.916149,24.457229
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.604621,70.856719,62.001052,68.912009,71.280066,66.533736,67.676708,67.867956,75.938287,92.250913,91.491824,90.436484,82.610228,81.572276,86.866168,97.91528,95.221787,60.800099,58.463417,61.306075,68.772054,58.082233,27.185384,33.966743,35.090181,41.937634,42.453038,40.602924,38.212459
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,125.10808,189.11584,239.39755,210.84559,198.51449,150.40569,144.3803,190.22463,178.56614,174.90465,198.62339,201.41045,240.11324,207.19815,233.71853,221.73469,224.71471,212.634,220.97803,221.95033,204.04062,177.20543,163.302,158.98143,68.279566,51.690387,53.453115,57.052764,64.982091,61.726841,62.547779,57.190459,64.343911
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.165541,33.381078,30.178234,34.658196,35.023436,36.350266,44.739166,37.8112,63.815288,71.192028,81.349112,70.724878,100.4822,132.82949,153.97554,149.50187,169.45779,188.36593,209.22004,299.9056,352.22564,347.50627,386.27115,421.81799,307.39373,354.0443,328.81131,414.41299,367.09192,435.41677,384.31434,321.59793,283.48497,196.27093,171.0952,159.91566,144.24699,147.74326,134.37076,140.92058,127.72002,121.49041,118.38934,96.976851,60.976076,62.541714,67.061445,67.885367,66.752392,63.460636,57.808448,51.868178,50.100996,50.737476,51.35009,52.938061
Haiti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.60735,18.871675,19.192145,15.372817,22.976522,24.45431,25.673205,31.881638,34.662777,34.111422,35.02908,40.820087,44.015077,49.775891,47.093308,44.198009,45.617987,100.98533,156.62062,170.07881,146.66222,139.0536,204.82768,168.91291,60.839653,45.195605,45.2169,42.248816,39.2045,39.345046,54.077641,48.569536,53.271004,60.838169,48.907833,46.745658,38.73408,34.19703,36.976418,26.79705,17.153473,11.804136,16.114409,21.468375,26.327514,30.255358,33.658877,30.966919,33.260996
Honduras,2.2123894,1.875,2.9058116,2.5693161,2.7734375,2.5865209,3.9304348,4.6308725,no data,8.0547112,8.9716839,8.2162922,8.5419354,9.0975607,9.7811814,8.9675514,9.472727,9.7240805,9.7459585,13.004451,15.359097,17.177814,18.122263,17.886048,19.665756,24.48697,26.42599,27.804405,31.169286,33.62861,40.078082,43.84562,50.588771,58.771255,64.041006,63.248567,65.299618,63.314092,61.905832,58.995079,105.39163,88.864847,82.728843,97.618548,88.877663,80.959206,88.653328,70.307605,65.763221,69.556867,62.468703,59.828619,54.379924,58.108488,58.088045,43.887251,28.323016,17.156295,20.076463,23.866252,29.179924,31.593365,35.339395,43.115619,44.440621,44.325569,45.979133,47.49441,48.74468
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.5575283,3.4686358,3.7400461,5.5431152,4.9570682,4.5897435,4.179903,3.9238929,4.8817384,5.5169867,6.0999881,6.7744724,7.6696262,7.4778596,7.295812,7.484398,6.980861,no data
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.6778,63.533026,74.30206,76.510713,86.623999,84.912255,83.362336,71.29162,62.376452,59.817648,59.793224,54.838827,51.306552,53.972901,56.309474,57.065677,58.621859,62.211126,62.568369,67.978148,73.505805,75.255562,75.821205,74.006552,74.561266,75.205896,74.683892,74.506406,72.662249,70.97418
Iceland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.484996,11.452587,12.322836,16.175362,16.600287,18.075458,19.276471,20.451955,22.222905,23.056607,26.453274,28.282883,30.259265,30.79213,27.616327,25.429052,26.70462,31.135234,31.289465,33.541957,39.507621,47.106297,49.424186,51.401793,48.674791,45.209991,42.43653,37.985158,35.31088,40.49692,35.87992,34.135029,28.949607,20.569261,26.551398,24.785218,62.174483,75.420559,80.644029,88.042408,85.17871,78.153124,77.080769,62.002277,49.358635,40.08193,35.861138
India,26.127108,25.177432,26.388536,24.646241,24.862066,29.625378,25.479542,27.38254,23.732237,33.584855,34.458642,36.78929,36.205628,35.427495,33.811465,36.732696,36.377748,33.994221,40.309245,38.779648,38.183503,37.583009,37.157028,34.129334,28.767862,28.86382,33.639179,37.026388,36.604854,38.761404,37.378346,36.540862,40.978317,38.963718,40.844696,43.51558,47.039176,48.024402,48.063844,49.759437,49.895311,49.247174,42.094871,50.87889,48.871916,46.61245,44.877201,no data,54.880335,52.234777,55.595253,57.009132,59.82358,57.215179,55.133145,52.180952,49.089628,47.435384,47.496185,49.355031,44.7436,45.774017,47.092134,46.981927,46.025387,45.77384,45.619272,44.259789,43.871417
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.678073,26.37786,18.87196,17.234147,16.337507,15.762935,24.032182,17.488811,13.560295,14.046405,23.227415,23.67074,20.984947,26.246979,35.039558,45.879126,41.404972,38.647724,37.103455,35.716638,35.247303,33.191987,32.144942,28.346241,23.416971,23.340635,62.539805,83.031204,87.437299,71.10391,61.829978,56.254074,52.042211,43.523984,35.854049,32.333566,30.226921,26.460835,24.429159,23.097718,22.95471,24.884419,24.681673,27.459991,28.346531,29.404485,29.801138
Iran,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.928512,14.639392,13.146713,13.138052,6.7911092,8.8691922,7.0710199,9.3836955,no data,no data,36.356146,47.578561,47.050151,35.950183,10.137976,8.7734697,47.465914,48.638608,52.064354,48.856618,37.383267,29.471681,25.780993,25.404122,40.354609,30.956485,22.204164,19.063921,21.671411,15.930975,11.893024,11.683946,21.578952,19.45138,16.200907,12.969348,11.884565,11.374549,9.0592873,10.101154,11.714435,8.9362895,12.126349,10.715442,11.822378,38.415058,47.470432,39.529947,32.176284
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,344.31742,227.34427,143.16484,117.08483,74.167511,87.3751,53.532586,40.719147,34.781799,31.986994,32.862483,56.882642,64.341145,58.917663,49.254498
Ireland,37.684514,45.606385,47.428854,49.22275,55.983465,63.819841,67.314432,70.149143,72.794208,70.336719,73.639106,73.660398,73.513107,74.475079,70.889501,73.418375,78.05461,76.972967,66.104769,63.585661,62.237476,59.672955,55.882557,52.061761,58.924652,65.676515,70.182981,67.517175,69.7955,74.572012,75.871122,80.731768,77.889301,87.159249,91.982984,93.137689,102.13126,104.77531,101.87987,92.650517,86.330871,83.946023,81.816239,81.768982,no data,77.402046,69.505843,61.276853,51.179503,48.411948,37.897413,34.819792,32.277759,31.495167,29.762292,28.855451,26.08644,26.421645,45.045001,64.552556,89.663205,114.95452,123.80651,123.68813,108.66428,80.01553,77.017625,70.901009,71.080648
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,255.9202,278.49457,195.16632,159.51071,140.64668,142.81128,144.42139,134.94564,120.39117,116.35957,114.79437,106.68653,94.845047,92.964675,91.117867,92.921419,87.210359,77.350208,81.430006,87.920136,90.571429,89.221451,86.257372,78.177743,71.268262,70.353918,73.056758,69.288792,67.422209,67.151574,65.871188,64.656453,62.37836,60.402416,58.757977,59.2439
Italy,30.11976,30.599709,32.409963,33.236609,34.866189,34.570738,33.494579,32.638018,32.416258,33.459136,29.793805,28.450998,27.517767,25.865992,25.872127,27.030739,28.182629,27.569259,28.995161,29.319948,30.003556,33.554711,36.976188,39.524231,39.903182,46.848339,46.844667,48.495383,53.323093,52.52974,49.841182,52.708017,57.023724,62.982237,67.739145,74.175852,78.592679,82.675841,84.761223,87.201434,90.862068,93.344345,99.953093,109.4767,116.40516,118.09149,117.93525,115.3146,112.60342,110.96191,106.1386,106.02772,103.4941,101.50717,100.92618,101.79758,101.04242,98.126398,100.74928,110.09689,112.93881,113.96361,120.8937,126.97291,130.26558,130.3025,130.34856,130.20884,131.08993
Jamaica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.048455,16.176309,17.334178,19.074308,20.465728,22.769697,22.043856,21.354355,22.894262,23.855594,24.329798,27.55868,34.27154,52.824719,53.885051,65.016319,no data,124.04051,143.63123,144.13634,211.75478,237.77125,232.16857,200.57428,205.78528,179.35783,168.15256,128.78625,175.07765,100.38146,104.73248,89.166736,85.292446,70.231642,74.405147,75.603935,86.754987,93.687124,110.65212,122.23924,128.78457,123.25395,127.71512,121.0697,118.24894,128.89411,145.21451,144.20927,142.73434,148.61077,142.0166,140.34737,124.04703,115.43377,102.88818,96.76342
Japan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.7426844,7.5989448,8.5590798,11.7063,10.823992,11.177987,14.303626,18.422908,22.631953,29.546143,33.163352,34.479457,38.9104,43.124792,48.313077,50.072602,52.867051,58.38768,59.39336,55.631699,49.682587,47.048754,45.843317,48.494927,52.391029,56.910697,64.745932,67.965749,70.699617,78.485045,89.548636,95.735401,102.65867,111.81158,119.45382,129.27113,136.46337,137.54751,137.35417,145.20138,159.80464,167.32757,180.04141,187.07264,191.31756,194.75551,192.28884,197.63296,196.77115,198.43788
Jordan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.908285,24.308859,31.538415,35.442413,40.961482,41.598506,42.062125,38.845079,44.23083,46.965448,46.483461,51.367727,53.744805,61.633869,69.12322,72.810686,85.757489,84.839025,102.53834,130.08501,196.67363,219.73412,200.63095,149.74869,136.95029,126.28715,114.93835,113.82928,106.64606,109.70839,108.01258,100.47902,96.477954,99.719298,99.643751,91.822901,84.307592,76.329919,73.769503,60.244418,64.775452,67.113298,70.372936,79.056994,85.474355,87.814493,92.40774,93.757456,94.3473,94.410579
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.599997,17.700002,15.400001,13.200001,10.000001,7.0552357,5.9374266,5.3581077,6.32677,9.5136704,10.185419,9.9438014,11.950822,12.882745,14.377366,20.780457,18.899402,19.2,19.600001
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.884645,12.094101,13.368818,12.821012,13.552737,12.679521,13.673194,13.926428,13.244064,14.10424,17.880713,17.479207,17.823241,20.01422,22.013483,22.354637,25.390019,25.963657,30.6676,35.831763,34.779198,34.065238,38.390889,41.660829,48.357682,45.100817,44.523561,50.026512,57.308827,54.810706,82.086729,75.917864,69.356909,53.977376,47.913298,47.045165,49.757153,52.230343,56.2184,61.84422,60.13274,53.795142,48.343018,43.975054,38.372377,41.469013,41.094779,44.403166,43.049433,43.879995,43.959667,48.561717,51.446153,54.498704,55.179013,60.147433
Kiribati,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.1067129,4.270464,6.5581323,7.341487,9.3535563,13.693227,15.038279,15.03377,13.42023,12.785166,11.192628,13.239291,11.850994,15.395675,11.776152,11.247671,11.983517,10.53448,11.340451,9.9252963,12.892984,9.3451882,8.4660247,8.0172681,7.4363357,8.2997985,8.6984236,19.899087,21.941433,21.619792,20.5669
