Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.672947,19.209111,16.721235,12.465675,14.290775,25.413739,22.837186,24.387309,23.01766,21.828259,9.7099795,6.8546552,5.2966484,4.0033179,3.2207652,4.7261824,4.9808659,4.9668637,5.8306015,6.1788358,8.5326239,17.980392,20.608326,22.508608,18.754394
"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.339688,6.4840637,6.7706536,7.4666702,6.4710497,6.2379426,7.7354496,9.736386,10.405293,12.042553,11.366848,10.84731,9.356969,10.43991,11.601147,12.64375,12.307825,12.188979,12.324933,11.305587,11.831524,12.275738,13.223336,15.390098,17.877772,19.762782,20.379247,20.498398,20.231564,20.847558,20.030641,18.665644,18.71003,18.211669,18.81849,20.853542,21.399188,22.042568,22.777445,22.990842,25.455505,30.909272,33.692271,35.306422,36.449504,44.395844,47.283517,47.968267,49.96265,53.908652,62.560786
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.27486921,0.30692118,0.53786024,1.0199648,2.2433166,2.2479083,7.1593313,6.6628767,6.9278452,7.1641683,7.2544555,6.2994042,11.045477,11.868453,15.126396,15.589707,7.5447135,6.9942208,6.7245867,6.1985202,5.8606118,14.198659,13.674529,15.382764,20.844987,25.716768,25.744556,26.075813,28.378579,32.45156,29.396313,24.193481,20.251526,16.344896,12.562767,21.362543,29.706708,32.803131,36.212589,43.945142,44.397466,66.019541,81.295664,88.237649,94.747501
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.39853,14.085566,15.12227,19.033923,22.14704,21.257306,19.163277,17.901278,20.385197,24.031961,25.535686,24.101129,26.877573,30.655296,34.239472,33.452527,32.199998,35.326377,35.976796,38.140696,38.604835,39.355542,37.094664,35.072181,32.460552,34.730425,36.404037,35.253213,42.339469,43.998714,42.055569,41.150194,39.87427,39.558066,39.107914,38.24944,37.109364,33.035501,34.033745,33.911266,33.780794,33.150134,31.430703,31.147771,30.500262,31.745454
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.775354,22.786046,25.999667,30.977206,27.601341,21.557547,24.229948,29.084947,28.518154,26.218228,24.941469,26.955523,28.086723,28.961285,28.810403,31.643908,34.78611,36.955676,38.39624,36.372274,41.703645,43.034171,45.787196,46.910432,56.649554,58.87587,59.373643,60.405315,54.527137,54.181436,61.276772,67.770259,71.555878,72.155531,72.449112,75.215129,77.818947,77.899384,81.992165,100.37237,108.92049,112.34967,124.12232,135.29932,139.38987,147.91789,150.59965,159.12634,126.34109
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.639242,52.633386,10.713118,10.461737,16.209725,12.719449,10.623549,11.299285,10.88279,10.410882,8.9092808,8.252926,8.778304,11.480497,12.91852,21.428991,22.485133,46.911798,30.315991,30.836012,32.93696,46.914172,47.147875,47.214587,42.776594
Belgium,64.64597,65.197403,69.086061,62.324765,62.980889,65.165658,62.564843,59.538326,60.477224,65.014219,66.07752,64.581959,62.836488,61.448977,59.446563,56.18351,53.080705,51.78618,52.345392,51.748577,48.042491,44.551855,44.849947,42.840231,40.564551,39.216579,40.02102,40.81396,43.719839,47.077961,52.153131,61.741184,72.168405,81.990377,87.375127,94.526271,99.538304,103.62001,105.06708,103.22843,103.68116,106.22149,108.38833,114.88016,112.0985,115.98878,113.17614,110.44855,106.01646,103.05825,98.225171,97.619531,94.669987,88.879729,84.54995,83.466728,80.492068,76.959027,82.19541,85.921579,85.305984,87.730904,88.65861,89.728068,90.692251,90.03583,90.314763,88.248648,86.950895
Belize,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.672961,16.902941,28.230741,29.650675,34.108487,41.117302,48.808645,58.950178,56.841628,68.816623,62.395828,56.187901,47.021116,43.471566,39.840844,41.543019,41.702354,41.248662,41.834399,47.161364,50.887772,52.590556,52.200761,56.660313,78.999652,87.334773,95.015892,109.34402,103.37417,102.43649,95.652096,93.403676,85.81551,93.700826,89.463182,83.615543,79.616691,78.160559,76.820264,79.331297,93.17802,94.509579,95.218125
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.4841578,4.794191,3.8620347,5.7911778,6.9564394,9.6819611,11.205552,12.931899,13.359297,18.001809,18.105009,30.89077,45.696715,54.462285,48.506629,51.677776,47.182125,48.581231,47.165101,50.327737,45.271477,44.031655,41.795413,41.876364,64.607327,48.253134,43.431141,42.941272,41.570581,39.408922,39.591941,37.986511,30.768042,23.380852,21.50953,26.978139,8.3661223,14.285904,18.306656,18.74768,20.999765,21.860411,19.540206,18.503746,22.282075,30.90023,35.92335,39.598463,41.047454
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.8161956,2.5945512,4.8928095,11.080305,15.480653,18.003812,25.697044,27.539102,28.585765,34.886874,37.066911,39.173746,41.089269,36.116576,37.259612,34.163552,37.710399,40.639795,45.613239,54.23547,59.783887,74.619574,78.616387,82.629374,75.519401,70.335594,63.603097,64.499904,59.530017,67.121609,76.264168,100.3286,96.234398,95.652568,109.21537,107.96771,102.38361
